reading_id,site_id,period,metric_code,value,uom,period_type,source_system,submitted_at
1003,101,2024-01,ENERGY_CONS,2814.69,MWh,M,SITE_PORTAL,2024-02-10
1006,101,2024-01,HOURS_WORKED,175221,hours,M,SAP_EHS,2024-02-19
1001,101,2024-01,SCOPE1_GHG,635.564,t,M,MANUAL_XLS,2024-02-15
1002,101,2024-01,SCOPE2_GHG,428.497,t,M,SITE_PORTAL,2024-02-12
1005,101,2024-01,WASTE_TOTAL,211.15,t,M,SAP_EHS,2024-02-13
1004,101,2024-01,WATER_WD,12716.6,m3,M,MANUAL_XLS,2024-02-10
1009,101,2024-02,ENERGY_CONS,2651.65,MWh,M,SAP_EHS,2024-03-17
1012,101,2024-02,HOURS_WORKED,178691,hours,M,SAP_EHS,2024-03-13
1007,101,2024-02,SCOPE1_GHG,600.036,t,M,SITE_PORTAL,2024-03-19
1008,101,2024-02,SCOPE2_GHG,405.443,t,M,SITE_PORTAL,2024-03-20
1011,101,2024-02,WASTE_TOTAL,183.871,t,M,MANUAL_XLS,2024-03-16
1010,101,2024-02,WATER_WD,11726.3,m3,M,MANUAL_XLS,2024-03-15
1015,101,2024-03,ENERGY_CONS,2353.71,MWh,M,SAP_EHS,2024-04-16
1018,101,2024-03,HOURS_WORKED,180424,hours,M,SAP_EHS,2024-04-20
1013,101,2024-03,SCOPE1_GHG,521.831,t,M,SITE_PORTAL,2024-04-15
1014,101,2024-03,SCOPE2_GHG,396.139,t,M,MANUAL_XLS,2024-04-18
1017,101,2024-03,WASTE_TOTAL,175.558,t,M,SITE_PORTAL,2024-04-18
1016,101,2024-03,WATER_WD,12835.3,m3,M,SITE_PORTAL,2024-04-17
1021,101,2024-04,ENERGY_CONS,2127.18,MWh,M,MANUAL_XLS,2024-05-13
1024,101,2024-04,HOURS_WORKED,179077,hours,M,SAP_EHS,2024-05-12
1019,101,2024-04,SCOPE1_GHG,456.297,t,M,SAP_EHS,2024-05-12
1020,101,2024-04,SCOPE2_GHG,381.474,t,M,SAP_EHS,2024-05-18
1023,101,2024-04,WASTE_TOTAL,156.567,t,M,SAP_EHS,2024-05-18
1022,101,2024-04,WATER_WD,9975.9,m3,M,MANUAL_XLS,2024-05-14
1027,101,2024-05,ENERGY_CONS,2004.28,MWh,M,MANUAL_XLS,2024-06-19
1030,101,2024-05,HOURS_WORKED,181308,hours,M,SAP_EHS,2024-06-15
1025,101,2024-05,SCOPE1_GHG,472.115,t,M,MANUAL_XLS,2024-06-08
1026,101,2024-05,SCOPE2_GHG,345.668,t,M,SAP_EHS,2024-06-09
1029,101,2024-05,WASTE_TOTAL,144.338,t,M,MANUAL_XLS,2024-06-09
1028,101,2024-05,WATER_WD,10553.9,m3,M,SITE_PORTAL,2024-06-08
1033,101,2024-06,ENERGY_CONS,2044.78,MWh,M,SAP_EHS,2024-07-15
1036,101,2024-06,HOURS_WORKED,169796,hours,M,SAP_EHS,2024-07-08
1031,101,2024-06,SCOPE1_GHG,415.581,t,M,MANUAL_XLS,2024-07-11
1032,101,2024-06,SCOPE2_GHG,340.684,t,M,SAP_EHS,2024-07-17
1035,101,2024-06,WASTE_TOTAL,155.945,t,M,MANUAL_XLS,2024-07-13
1034,101,2024-06,WATER_WD,9865.22,m3,M,MANUAL_XLS,2024-07-19
1039,101,2024-07,ENERGY_CONS,1824.65,MWh,M,MANUAL_XLS,2024-08-13
1042,101,2024-07,HOURS_WORKED,177417,hours,M,SAP_EHS,2024-08-11
1037,101,2024-07,SCOPE1_GHG,460.275,t,M,SITE_PORTAL,2024-08-16
1038,101,2024-07,SCOPE2_GHG,350.183,t,M,MANUAL_XLS,2024-08-12
1041,101,2024-07,WASTE_TOTAL,141.403,t,M,SAP_EHS,2024-08-08
1040,101,2024-07,WATER_WD,10416.9,m3,M,SAP_EHS,2024-08-14
1045,101,2024-08,ENERGY_CONS,2007.54,MWh,M,SAP_EHS,2024-09-16
1048,101,2024-08,HOURS_WORKED,179424,hours,M,SAP_EHS,2024-09-12
1043,101,2024-08,SCOPE1_GHG,426.672,t,M,MANUAL_XLS,2024-09-16
1044,101,2024-08,SCOPE2_GHG,303.583,t,M,SAP_EHS,2024-09-11
1047,101,2024-08,WASTE_TOTAL,151.038,t,M,MANUAL_XLS,2024-09-16
